#ZJet_Madgraph_HT100to200      /DYJetsToLL_M-50_HT-100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM
#ZJet_Madgraph_HT200to400      /DYJetsToLL_M-50_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM
#ZJet_Madgraph_HT400to600      /DYJetsToLL_M-50_HT-400to600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM
#ZJet_Madgraph_HT600to800      /DYJetsToLL_M-50_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM
#ZJet_Madgraph_HT800to1200     /DYJetsToLL_M-50_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM
#ZJet_Madgraph_HT1200to2500    /DYJetsToLL_M-50_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM
#ZJet_Madgraph_HT2500toInf     /DYJetsToLL_M-50_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM
#ZJet_Madgraph_HT    ZJet_Madgraph_HT100to200 ZJet_Madgraph_HT200to400 ZJet_Madgraph_HT400to600 ZJet_Madgraph_HT600to800 ZJet_Madgraph_HT800to1200 ZJet_Madgraph_HT1200to2500 ZJet_Madgraph_HT2500toInf

#ZJet_Madgraph_M-5to50         DYJetsToLL_M-5to50
#ZJet_Madgraph_Inc    /DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM
#QCD_Pt-170to300_EMEnriched    /QCD_Pt-170to300_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM       
#QCD_Pt-300toInf_EMEnriched    /QCD_Pt-300toInf_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM       
#QCD_EMEnriched    QCD_Pt-20to30_EMEnriched QCD_Pt-30to50_EMEnriched QCD_Pt-50to80_EMEnriched QCD_Pt-80to120_EMEnriched QCD_Pt-120to170_EMEnriched QCD_Pt-170to300_EMEnriched QCD_Pt-300toInf_EMEnriched

#QCDFakes_SingleElectron_2015D-05Oct2015        /SingleElectron/Run2015D-05Oct2015-v1_forDataDrivenQCD/MINIAOD
#QCDFakes_SingleElectron_2015D-PromptReco-v4    /SingleElectron/Run2015D-PromptReco-v4_forDataDrivenQCD/MINIAOD
#QCDFakes_DATA    QCDFakes_SingleElectron_2015D-05Oct2015    QCDFakes_SingleElectron_2015D-PromptReco-v4

#WW    /WW_TuneCUETP8M1_13TeV-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM
#WZ    /WZ_TuneCUETP8M1_13TeV-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM
#ZZ    /ZZ_TuneCUETP8M1_13TeV-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM
#DIBOSON		WW WZ ZZ

#WWTo1L1Nu2Q  /WWTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
#WWTo4Q       /WWTo4Q_4f_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
WZTo1L1Nu2Q  /WZTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM
WZTo1L3Nu    /WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
WZTo2L2Q     /WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
WZTo3LNu     /WZTo3LNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
#WZTo2Q2Nu    /WZTo2Q2Nu_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
#ZZTo2Q2Nu    /ZZTo2Q2Nu_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
#ZZTo4L       /ZZTo4L_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM
#ZZTo4Q       /ZZTo4Q_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
#ZZTo2L2Q     /ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
## VV has WW->2L2Nu and ZZ->2L2Nu
#VVTo2L2Nu    /VVTo2L2Nu_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
#WW_amcatnlo    WWTo1L1Nu2Q  WWTo4Q
#WZ_amcatnlo    WZTo1L1Nu2Q  WZTo1L3Nu  WZTo2L2Q  WZTo3LNu  WZTo2Q2Nu  
WZ_amcatnlo    WZTo1L1Nu2Q  WZTo1L3Nu  WZTo2L2Q  WZTo3LNu
#ZZ_amcatnlo    ZZTo4L  ZZTo4Q  ZZTo2L2Q
#DIBOSON_amcatnlo    WW_amcatnlo WZ_amcatnlo ZZ_amcatnlo  VVTo2L2Nu

WWTo4Q       /WWTo4Q_NNPDF31_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17NanoAODv6-PU2017_12Apr2018_Nano25Oct2019_102X_mc2017_realistic_v7_ext1-v1/NANOAODSIM 
WWToLNuQQ    /WWToLNuQQ_NNPDF31_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17NanoAODv6-PU2017_12Apr2018_Nano25Oct2019_102X_mc2017_realistic_v7_ext1-v1/NANOAODSIM 
WWTo2L2Nu    /WWTo2L2Nu_NNPDF31_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17NanoAODv6-PU2017_12Apr2018_Nano25Oct2019_102X_mc2017_realistic_v7_ext1-v1/NANOAODSIM
WW_powheg    WWTo4Q  WWToLNuQQ  WWTo2L2Nu
ZZTo2L2Q     /ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
ZZTo4L       /ZZTo4L_13TeV_powheg_pythia8/RunIISummer16NanoAODv6-PUMoriond17_Nano25Oct2019_102X_mcRun2_asymptotic_v7-v1/NANOAODSIM
ZZTo2Q2Nu    /ZZTo2Q2Nu_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM
ZZTo2L2Nu    /ZZTo2L2Nu_13TeV_powheg_pythia8/RunIISummer16NanoAODv6-PUMoriond17_Nano25Oct2019_102X_mcRun2_asymptotic_v7-v1/NANOAODSIM
ZZ_nlo       ZZTo2L2Q  ZZTo4L  ZZTo2Q2Nu  ZZTo2L2Nu
DIBOSON_nlo  WW_powheg  ZZ_nlo  WZ_amcatnlo

WWW    /WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISummer16NanoAODv6-PUMoriond17_Nano25Oct2019_102X_mcRun2_asymptotic_v7-v1/NANOAODSIM
WWZ    /WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17NanoAODv6-PU2017_12Apr2018_Nano25Oct2019_ext_102X_mc2017_realistic_v7-v1/NANOAODSIM 
WZZ    /WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISummer16NanoAODv6-PUMoriond17_Nano25Oct2019_102X_mcRun2_asymptotic_v7-v1/NANOAODSIM
ZZZ    /ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISummer16NanoAODv6-PUMoriond17_Nano25Oct2019_102X_mcRun2_asymptotic_v7-v1/NANOAODSIM
TRIBOSON  WWW  WWZ  WZZ ZZZ

TTWJetsToLNu    /TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer16NanoAODv6-PUMoriond17_Nano25Oct2019_102X_mcRun2_asymptotic_v7_ext1-v1/NANOAODSIM  /TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer16NanoAODv6-PUMoriond17_Nano25Oct2019_102X_mcRun2_asymptotic_v7_ext2-v1/NANOAODSIM
TTWJetsToQQ     /TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer16NanoAODv6-PUMoriond17_Nano25Oct2019_102X_mcRun2_asymptotic_v7-v1/NANOAODSIM
TTW    TTWJetsToLNu  TTWJetsToQQ
TTZ    /ttZJets_13TeV_madgraphMLM-pythia8/RunIISummer16NanoAODv6-PUMoriond17_Nano25Oct2019_102X_mcRun2_asymptotic_v7-v1/NANOAODSIM  /ttZJets_13TeV_madgraphMLM/RunIISummer16NanoAODv6-Nano25Oct2019_102X_mcRun2_asymptotic_v7-v1/NANOAODSIM

##ALLBKG_amcAtNLOIncTTBar_ZJetWJetPt_amcAtNLODiboson		ZJet_amcatnlo_ptBinned TTbar_amcatnlo_Inc WJet_amcatnlo_ptBinned SingleTop DIBOSON_amcatnlo PhotonJets_Madgraph
#OTHERBKG_WJetPt_amcAtNLODiboson   	WJet_amcatnlo_ptBinned SingleTop DIBOSON_amcatnlo PhotonJets_Madgraph
#ALLBKG_powhegTTBar_ZJetWJetPt_amcAtNLODiboson		ZJet_amcatnlo_ptBinned TTbar_powheg WJet_amcatnlo_ptBinned SingleTop DIBOSON_amcatnlo PhotonJets_Madgraph
##ALLBKG_powhegTTBar_ZJetIncWJetPt_amcAtNLODiboson		ZJet_amcatnlo_Inc TTbar_powheg WJet_amcatnlo_ptBinned SingleTop DIBOSON_amcatnlo PhotonJets_Madgraph

#ALLBKG_powhegTTBar_ZJetAMCIncWJetMGInc_DibosonPyth		ZJet_amcatnlo_Inc TTbar_powheg WJet_Madgraph_Inc SingleTop DIBOSON PhotonJets_Madgraph
#ALLBKG_powhegTTBar_ZJetAMCIncWJetAMCJetBinned_DibosonPyth		ZJet_amcatnlo_Inc TTbar_powheg WJet_amcatnlo_jetBinned SingleTop DIBOSON PhotonJets_Madgraph
#OTHERBKG_WJetMGInc_DibosonPyth   	WJet_Madgraph_Inc SingleTop DIBOSON PhotonJets_Madgraph

# Removed QCD Fakes from here
#ALLBKG_MG_HT		WJet_Madgraph_HT TTbar_Madgraph ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON
#OTHERBKG_MG_HT	ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON
#ALLBKG_MGIncZJet		WJet_Madgraph_Inc TTbar_Madgraph ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON
#OTHERBKG_MGIncZJet	ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON
#ALLBKG_amcAtNLOIncZJet		WJet_amcatnlo_Inc TTbar_Madgraph ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON
#OTHERBKG_amcAtNLOIncZJet	ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON
#ALLBKG_amcAtNLOIncZJetTTBar		WJet_amcatnlo_Inc TTbar_amcatnlo_Inc ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON
#OTHERBKG_amcAtNLOIncZJetTTBar	ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON
#ALLBKG_amcAtNLOIncZJetTTBar_WJetPt		WJet_amcatnlo_Inc TTbar_amcatnlo_Inc ZJet_amcatnlo_ptBinned SingleTop PhotonJets_Madgraph DIBOSON
#OTHERBKG_amcAtNLOIncZJetTTBar_WJetPt	ZJet_amcatnlo_ptBinned SingleTop PhotonJets_Madgraph DIBOSON
#ALLBKG_amcAtNLOIncZJet_WJetPt		WJet_amcatnlo_Inc TTbar_Madgraph ZJet_amcatnlo_ptBinned SingleTop PhotonJets_Madgraph DIBOSON
#OTHERBKG_amcAtNLOIncZJet_WJetPt	ZJet_amcatnlo_ptBinned SingleTop PhotonJets_Madgraph DIBOSON
#ALLBKG_MGIncZJetTTBar		WJet_Madgraph_Inc TTbar_Madgraph ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON
#OTHERBKG_MGIncZJetTTBar	ZJet_Madgraph_HT SingleTop PhotonJets_Madgraph DIBOSON

#ALLBKG_MG_WJetPt		WJet_amcatnlo_ptBinned TTbar_Madgraph ZJet_Madgraph_HT SingleTop DIBOSON
#OTHERBKG_MG_WJetPt	ZJet_Madgraph_HT SingleTop DIBOSON
#ALLBKG_ZJetWJetPt		WJet_amcatnlo_ptBinned TTbar_Madgraph ZJet_amcatnlo_ptBinned SingleTop DIBOSON
#OTHERBKG_ZJetWJetPt	ZJet_amcatnlo_ptBinned SingleTop DIBOSON


# reMiniAOD data
QCDFakes_SinglePhoton_2017B    /SinglePhoton/Run2017B-Nano25Oct2019-v1/NANOAOD
QCDFakes_SinglePhoton_2017C    /SinglePhoton/Run2017C-Nano25Oct2019-v1/NANOAOD
QCDFakes_SinglePhoton_2017D    /SinglePhoton/Run2017D-Nano25Oct2019-v1/NANOAOD
QCDFakes_SinglePhoton_2017E    /SinglePhoton/Run2017E-Nano25Oct2019-v1/NANOAOD
QCDFakes_SinglePhoton_2017F    /SinglePhoton/Run2017F-Nano25Oct2019-v1/NANOAOD
QCDFakes_DATA    QCDFakes_SinglePhoton_2017B  QCDFakes_SinglePhoton_2017C  QCDFakes_SinglePhoton_2017D  QCDFakes_SinglePhoton_2017E  QCDFakes_SinglePhoton_2017F
